City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
167,Haines Junction,60.7522,-137.5108,35.55,69,77,4.61,broken clouds,CA,1634266593
168,Urumqi,43.801,87.6005,45.55,43,0,2.24,clear sky,CN,1634266594
169,Bukoba,-1.3317,31.8122,66.88,80,35,2.04,light rain,TZ,1634266594
170,Meulaboh,4.1363,96.1285,83.89,65,44,2.75,scattered clouds,ID,1634266595
171,Souillac,-20.5167,57.5167,74.35,78,40,6.91,scattered clouds,MU,1634266595
172,Ulaangom,49.9811,92.0667,36.36,61,36,2.13,scattered clouds,MN,1634266596
173,Saint-Augustin,51.226,-58.6502,47.77,80,100,13.38,overcast clouds,CA,1634266596
174,Evensk,61.95,159.2333,27.07,47,33,12.12,scattered clouds,RU,1634266597
175,Shache,38.4167,77.2406,52.43,23,3,6.53,clear sky,CN,1634266597
176,Vao,-22.6667,167.4833,69.78,77,64,16.04,broken clouds,NC,1634266598
177,Zhigansk,66.7697,123.3711,14.81,90,83,5.5,broken clouds,RU,1634266599
178,Bathsheba,13.2167,-59.5167,81.21,89,75,16.11,broken clouds,BB,1634266599
179,Klaksvik,62.2266,-6.589,45.52,67,100,21.54,overcast clouds,FO,1634266600
180,Chiang Khong,20.2613,100.4046,73.72,97,100,2.59,overcast clouds,TH,1634266600
181,Gold Coast,-28.0,153.4333,86.34,39,28,5.99,scattered clouds,AU,1634266583
182,Solnechnyy,50.7214,136.6319,31.71,70,98,9.22,overcast clouds,RU,1634266601
183,Dikson,73.5069,80.5464,32.25,99,100,5.03,overcast clouds,RU,1634266602
184,Dahra,36.2546,0.8519,54.79,57,0,4.81,clear sky,DZ,1634266602
185,Narsaq,60.9167,-46.05,36.25,47,12,5.84,few clouds,GL,1634266603
186,Saskylakh,71.9167,114.0833,4.77,92,92,10.83,overcast clouds,RU,1634266604
187,Vardo,70.3705,31.1107,37.6,97,100,15.88,overcast clouds,NO,1634266604
188,San Jose,37.3394,-121.895,66.88,48,1,0.0,clear sky,US,1634266433
189,Martapura,-3.4167,114.85,90.18,62,74,0.85,light rain,ID,1634266605
190,Yei,4.095,30.6779,65.7,96,52,1.34,broken clouds,SS,1634266605
191,Markha,62.1053,129.7269,22.96,68,75,2.24,light shower snow,RU,1634266606
192,Tiksi,71.6872,128.8694,11.44,91,99,6.91,overcast clouds,RU,1634266606
193,Caravelas,-17.7125,-39.2481,76.26,90,93,8.77,overcast clouds,BR,1634266607
194,Slavonski Brod,45.1603,18.0156,37.65,94,6,1.54,clear sky,HR,1634266608
195,Makakilo City,21.3469,-158.0858,77.32,80,90,20.74,overcast clouds,US,1634266608
196,Keetmanshoop,-26.5833,18.1333,55.8,49,0,6.46,clear sky,NA,1634266516
197,Saldanha,-33.0117,17.9442,55.45,72,100,11.32,overcast clouds,ZA,1634266609
198,Santa Cruz,-17.8,-63.1667,85.46,66,75,16.11,moderate rain,BO,1634266526
199,Ribeira Grande,38.5167,-28.7,70.61,82,46,12.21,scattered clouds,PT,1634266610
200,Kuusamo,65.9667,29.1833,39.24,93,90,16.11,overcast clouds,FI,1634266610
201,Fairbanks,64.8378,-147.7164,32.0,78,90,4.61,overcast clouds,US,1634266324
202,Myitkyina,25.3833,97.4,77.34,95,100,1.61,overcast clouds,MM,1634266611
203,Katsuura,35.1333,140.3,73.44,63,11,4.27,few clouds,JP,1634266611
204,Garowe,8.4054,48.4845,79.3,63,81,5.35,light rain,SO,1634266612
205,Vitim,59.4511,112.5578,24.33,73,100,7.63,overcast clouds,RU,1634266613
206,Cururupu,-1.8283,-44.8683,76.91,84,76,4.7,broken clouds,BR,1634266613
207,Port Lincoln,-34.7333,135.8667,60.58,65,67,17.2,broken clouds,AU,1634266614
208,Strezhevoy,60.7333,77.5889,40.98,90,100,10.78,overcast clouds,RU,1634266614
209,Nyurba,63.2842,118.3319,24.55,71,76,4.56,broken clouds,RU,1634266615
210,Norman Wells,65.282,-126.8329,23.04,86,75,3.44,broken clouds,CA,1634266615
211,Sola,-13.8833,167.55,84.87,84,40,8.05,scattered clouds,VU,1634266616
212,Benjamin Hill,30.1667,-111.1,67.17,18,0,5.75,clear sky,MX,1634266616
213,Talaya,61.3833,152.75,15.15,80,99,6.69,overcast clouds,RU,1634266616
214,Ranong,9.9658,98.6348,80.53,84,98,13.78,overcast clouds,TH,1634266617
215,Puerto Montt,-41.4698,-72.9447,41.83,93,75,0.0,broken clouds,CL,1634266618
216,Berlevag,70.8578,29.0864,36.1,98,100,9.84,light rain,NO,1634266618
217,Barrow,71.2906,-156.7887,24.22,85,100,19.91,overcast clouds,US,1634266618
218,East London,-33.0153,27.9116,63.52,75,100,14.09,overcast clouds,ZA,1634266619
219,Carauari,-4.8828,-66.8958,79.86,78,49,1.86,scattered clouds,BR,1634266619
220,Cap-Aux-Meules,47.3821,-61.8597,50.05,87,75,13.8,broken clouds,CA,1634266620
221,Bjornevatn,69.6672,29.9847,37.02,100,75,17.27,light rain,NO,1634266620
222,Boras,57.721,12.9401,52.83,92,100,11.41,overcast clouds,SE,1634266621
223,Leningradskiy,69.3833,178.4167,18.95,95,100,6.46,light snow,RU,1634266622
224,Olafsvik,64.8945,-23.7142,43.79,81,100,22.15,overcast clouds,IS,1634266622
225,Noyabrsk,63.1994,75.4507,40.03,93,98,15.43,overcast clouds,RU,1634266623
226,Talas,38.6908,35.5538,39.87,81,0,0.0,clear sky,TR,1634266623
227,Moree,-29.4667,149.85,73.42,28,5,20.71,clear sky,AU,1634266624
228,Prince Rupert,54.3161,-130.3201,47.89,93,90,17.27,moderate rain,CA,1634266376
229,Avera,33.194,-82.5271,68.7,73,99,0.47,overcast clouds,US,1634266625
230,Cayenne,4.9333,-52.3333,81.09,83,0,0.0,clear sky,GF,1634266625
231,Ostrovnoy,68.0531,39.5131,38.5,73,99,23.17,overcast clouds,RU,1634266625
232,Upernavik,72.7868,-56.1549,29.43,73,61,2.35,broken clouds,GL,1634266626
233,Mareeba,-17.0,145.4333,81.48,59,100,2.86,overcast clouds,AU,1634266626
234,Shubarshi,48.5872,57.1869,44.33,40,51,7.99,broken clouds,KZ,1634266627
235,Severo-Kurilsk,50.6789,156.125,46.89,99,100,7.72,light rain,RU,1634266627
236,Merauke,-8.4667,140.3333,80.08,76,100,6.04,overcast clouds,ID,1634266506
237,Saint-Georges,12.0564,-61.7485,83.88,84,20,16.11,few clouds,GD,1634266628
238,Kunming,25.0389,102.7183,53.53,100,90,11.18,overcast clouds,CN,1634266629
239,Urucui,-7.2294,-44.5561,84.2,48,92,2.24,overcast clouds,BR,1634266629
240,Bairiki,1.3292,172.9752,86.0,66,75,9.22,broken clouds,KI,1634266629
241,Ostrogozhsk,50.8664,39.0756,44.38,72,100,7.05,light rain,RU,1634266630
242,Qasigiannguit,68.8193,-51.1922,32.94,99,100,1.5,overcast clouds,GL,1634266631
243,Biak,-0.9131,122.8766,84.33,68,94,2.89,overcast clouds,ID,1634266632
244,San Cristobal,7.7669,-72.225,73.58,92,100,1.59,overcast clouds,VE,1634266632
245,Cravo Norte,6.3017,-70.2041,81.9,78,100,4.81,overcast clouds,CO,1634266633
246,Batyrevo,55.0675,47.6111,49.26,71,100,19.28,overcast clouds,RU,1634266633
247,Komsomolskiy,40.4272,71.7189,50.72,53,0,6.91,clear sky,UZ,1634266633
248,Tingi,-11.3,35.0333,62.33,77,15,5.64,few clouds,TZ,1634266634
249,Kutulik,53.3508,102.7839,26.49,42,0,1.7,clear sky,RU,1634266634
250,Hyeres,43.1167,6.1167,59.68,85,0,2.3,clear sky,FR,1634266635
251,Barguzin,53.6167,109.6167,25.57,56,54,6.53,broken clouds,RU,1634266635
252,Saint-Pierre,-21.3393,55.4781,71.56,75,75,6.91,broken clouds,RE,1634266636
253,Palembang,-2.9167,104.7458,86.09,70,40,4.61,scattered clouds,ID,1634266446
254,Barabinsk,55.3571,78.357,42.35,82,100,4.74,overcast clouds,RU,1634266637
255,Adrar,20.5022,-10.0711,80.13,17,9,11.03,clear sky,MR,1634266637
256,Cidreira,-30.1811,-50.2056,67.1,96,85,11.65,overcast clouds,BR,1634266638
257,Port Hedland,-20.3167,118.5667,93.25,12,1,10.36,clear sky,AU,1634266638
258,Dakar,14.6937,-17.4441,77.88,73,0,15.61,clear sky,SN,1634266630
259,Walvis Bay,-22.9575,14.5053,58.08,94,1,5.75,clear sky,NA,1634266639
260,Luorong,24.4058,109.6086,76.24,62,34,16.15,scattered clouds,CN,1634266639
261,Acapulco,16.8634,-99.8901,81.59,84,68,4.32,broken clouds,MX,1634266640
262,Severo-Yeniseyskiy,60.3725,93.0408,26.06,79,100,14.12,overcast clouds,RU,1634266640
263,San Patricio,28.017,-97.5169,82.24,87,8,8.03,clear sky,US,1634266641
264,Novo Aripuana,-5.1206,-60.3797,80.35,58,92,3.18,overcast clouds,BR,1634266390
265,Adolfo Lopez Mateos,28.4667,-107.3,49.59,60,1,4.92,clear sky,MX,1634266641
266,Mount Isa,-20.7333,139.5,83.97,12,100,13.8,overcast clouds,AU,1634266642
267,Det Udom,14.906,105.0784,86.94,81,86,7.92,overcast clouds,TH,1634266643
268,Ellenabad,29.45,74.65,79.7,24,0,0.65,clear sky,IN,1634266643
269,Jose Bonifacio,-21.0528,-49.6883,70.86,85,99,9.4,overcast clouds,BR,1634266644
270,Hecun,36.5333,114.1111,66.4,46,100,4.41,overcast clouds,CN,1634266644
271,Marrakesh,31.6315,-8.0083,66.27,77,20,6.91,few clouds,MA,1634266645
272,Vilhena,-12.7406,-60.1458,74.19,75,84,3.98,broken clouds,BR,1634266645
273,Bandarbeyla,9.4942,50.8122,78.28,84,100,9.01,overcast clouds,SO,1634266646
274,Kapiri Mposhi,-13.9652,28.6809,64.0,59,6,5.06,clear sky,ZM,1634266646
275,Umkomaas,-30.2067,30.7978,62.6,78,21,4.32,few clouds,ZA,1634266647
276,Kibala,9.1104,18.3463,73.35,94,0,4.61,clear sky,TD,1634266647
277,Panjab,34.388,67.0233,42.89,14,1,4.97,clear sky,AF,1634266648
278,Sarkand,45.41,79.9186,50.13,35,1,0.96,clear sky,KZ,1634266648
279,Yantal,56.8471,105.2542,23.83,57,55,4.7,broken clouds,RU,1634266648
280,Koungou,-12.7336,45.2042,76.71,88,90,9.22,overcast clouds,YT,1634266649
281,Obera,-27.4871,-55.1199,68.65,100,96,1.1,light rain,AR,1634266649
282,Paita,-5.0892,-81.1144,64.31,84,23,12.1,few clouds,PE,1634266650
283,Nantucket,41.2835,-70.0995,60.96,90,90,6.91,mist,US,1634266650
284,Bataipora,-22.2953,-53.2711,68.68,93,2,7.36,clear sky,BR,1634266651
285,Samarai,-10.6167,150.6667,82.38,76,98,3.09,overcast clouds,PG,1634266652
286,Darlowo,54.421,16.4107,51.94,85,100,22.24,overcast clouds,PL,1634266652
287,Tonj,7.2737,28.6822,72.07,84,2,1.43,clear sky,SS,1634266652
288,Chumikan,54.7183,135.315,32.18,37,29,7.4,scattered clouds,RU,1634266653
289,Lookan,5.037,120.1027,84.6,72,100,5.68,overcast clouds,PH,1634266654
290,Saint-Philippe,-21.3585,55.7679,71.47,82,37,10.25,scattered clouds,RE,1634266654
291,Ust-Tsilma,65.441,52.1498,39.25,96,100,3.69,overcast clouds,RU,1634266655
292,Sao Felix Do Xingu,-6.6447,-51.995,75.18,77,92,2.37,heavy intensity rain,BR,1634266655
293,Gat,31.61,34.7642,73.4,70,42,6.13,scattered clouds,IL,1634266655
294,Kibondo,-3.5864,30.7203,63.39,85,92,1.83,overcast clouds,TZ,1634266656
295,Codajas,-3.8367,-62.0569,80.28,64,17,2.98,few clouds,BR,1634266398
296,Altay,47.8667,88.1167,42.85,40,0,5.64,clear sky,CN,1634266657
297,Honiara,-9.4333,159.95,85.46,72,84,5.21,broken clouds,SB,1634266604
298,Nuuk,64.1835,-51.7216,34.88,93,100,4.0,overcast clouds,GL,1634266658
299,Nagua,19.3832,-69.8474,79.45,89,100,3.36,overcast clouds,DO,1634266658
300,Luderitz,-26.6481,15.1594,54.32,90,27,12.3,scattered clouds,NA,1634266658
301,Flinders,-34.5833,150.8552,70.38,58,58,14.0,light rain,AU,1634266659
