City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
359,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
363,Edd,ER,86.36,clear sky,13.9297,41.6925,
368,Soyo,AO,75.56,scattered clouds,-6.1349,12.3689,Hotel Mpampa
369,Gigmoto,PH,83.34,scattered clouds,13.7796,124.39,Cj's Travellers Inn
372,Gouyave,GD,83.17,few clouds,12.1646,-61.7296,Rumboat Retreat
375,Boueni,YT,76.98,light rain,-12.9025,45.0761,The feet in water
377,Atar,MR,84.15,clear sky,20.5169,-13.0499,Oumou Elghoura
380,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
383,Coolum Beach,AU,84.11,scattered clouds,-26.5333,153.1,Palmer Coolum Resort
384,Itarema,BR,78.87,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
396,Jamame,SO,77.22,scattered clouds,0.0722,42.7506,
398,Kavaratti,IN,82.42,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
400,Maragogi,BR,77.2,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
402,Naze,JP,83.32,few clouds,28.3667,129.4833,オーベルジュ・アガルイ
406,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
409,Arlit,NE,82.15,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
410,Takoradi,GH,77.27,broken clouds,4.8845,-1.7554,Raybow International Hotel
411,Garoua,CM,77.22,overcast clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
413,Sungaipenuh,ID,77.97,overcast clouds,-2.0833,101.3833,penginapan citra alam
417,Hobyo,SO,77.9,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
420,Kande,TG,75.2,scattered clouds,9.9578,1.0447,
422,Manggar,ID,85.87,overcast clouds,-2.8833,108.2667,Guest Hotel
424,Manavalakurichi,IN,82.49,broken clouds,8.1333,77.3,Udaya Boys Hostel
427,Marsh Harbour,BS,80.35,clear sky,26.5412,-77.0636,Abaco Beach Resort
431,Cabo San Lucas,MX,82.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
432,Novita,CO,75.4,overcast clouds,4.9551,-76.6053,B/ Buenos Aires Sector Las Curvitas
435,Gushikawa,JP,85.23,overcast clouds,26.3544,127.8686,Kirari Guest House
436,Kieta,PG,84.47,light rain,-6.2167,155.6333,Uruna Bay Retreat
437,Weligama,LK,82.4,overcast clouds,5.9667,80.4167,Weligama Bay Resort
444,Port Macquarie,AU,81.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
446,Puerto Madero,MX,81.36,few clouds,14.7208,-92.4215,Hotel La Central
450,Les Cayes,HT,78.3,overcast clouds,18.2,-73.75,Villa Orphee
456,Namatanai,PG,85.8,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
458,Formosa,AR,78.78,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
459,Lodwar,KE,82.96,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
461,Luanda,AO,75.2,scattered clouds,-8.8368,13.2343,Hotel Fórum
463,Grand Gaube,MU,75.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
466,Mecca,SA,82.22,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
467,Inirida,CO,77.92,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
469,Karratha,AU,86.79,clear sky,-20.7377,116.8463,ibis Styles Karratha
471,Huilong,CN,84.04,light rain,31.8111,121.655,Hilton Garden Inn Qidong
472,Ipixuna,BR,78.75,scattered clouds,-1.7625,-48.8043,Casa da Oscarina
473,Gashua,NG,82.9,broken clouds,12.871,11.0482,Forte Oil - Old Lorry Park
480,Thinadhoo,MV,83.61,overcast clouds,0.5333,72.9333,
488,Akyab,MM,82.04,overcast clouds,20.15,92.9,Hotel Memory
490,Savannakhet,LA,77.02,drizzle,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์
499,Camocim,BR,79.18,clear sky,-2.9022,-40.8411,Hotel Ilha do Amor
500,Itaituba,BR,81.1,overcast clouds,-4.2761,-55.9836,Hotel Campos
501,Ballina,AU,84.38,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
505,Atmakur,IN,80.64,overcast clouds,15.8833,78.5833,Mee seva atk
507,Bundi,IN,77.54,clear sky,25.4417,75.6417,HOTEL BUNDI INN- A Heritage Haveli
511,Hit,IQ,77.74,few clouds,33.6416,42.8251,صالون زيرو
515,El Fuerte,MX,79.48,broken clouds,26.4189,-108.6194,Hotel Rio Vista
516,Araouane,ML,80.76,clear sky,18.9048,-3.5265,
517,Praya,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
520,Tiarei,PF,84.22,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
522,Keti Bandar,PK,81.86,clear sky,24.1447,67.4497,Haji laloo memon house
526,Ascension,US,80.01,scattered clouds,30.2169,-90.9001,Highland Inn
528,Popondetta,PG,89.69,overcast clouds,-8.7537,148.2534,Timos Transit House
530,Sinnamary,GF,79.11,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
533,Monrovia,LR,75.63,moderate rain,6.3005,-10.7969,Sunset Inn
534,Champua,IN,80.78,overcast clouds,22.0833,85.6667,Rahul Nayak jaintgarh
536,Mogadishu,SO,77.7,few clouds,2.0371,45.3438,Hotel Juba
539,Pochutla,MX,76.69,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
545,Bazpur,IN,79.61,clear sky,29.15,79.1167,Hotel castle park bazpur
552,Salalah,OM,79.41,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
553,Sur,OM,81.75,clear sky,22.5667,59.5289,Sur Plaza Hotel
554,Nicoya,CR,76.55,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
560,Tual,ID,84.31,broken clouds,-5.6667,132.75,Grand Vilia Hotel
562,Sao Gabriel Da Cachoeira,BR,79.57,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
563,Manicore,BR,81.88,overcast clouds,-5.8092,-61.3003,Hotel Durval
