City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Bambous Virieux,MU,2021-09-27 14:41:45,-20.3428,57.7575,73.65,73,40,12.66
111,Semey,KZ,2021-09-27 14:41:14,50.4111,80.2275,48.42,46,40,8.95
112,Malakal,SS,2021-09-27 14:45:42,9.5334,31.6605,84.63,67,82,0.72
113,Kahului,US,2021-09-27 14:42:11,20.8947,-156.47,77.85,86,1,14.97
114,Diamantino,BR,2021-09-27 14:45:42,-14.4086,-56.4461,97.2,29,92,6.64
115,Zheleznodorozhnyy,RU,2021-09-27 14:45:43,55.7503,38.0042,50.36,84,99,10.92
116,Sidney,AU,2021-09-27 14:40:56,-33.8679,151.2073,56.5,82,75,6.91
117,Bluff,NZ,2021-09-27 14:41:12,-46.6,168.3333,38.8,80,50,11.48
118,Bengkulu,ID,2021-09-27 14:42:02,-3.8004,102.2655,77.18,90,100,3.85
119,Seydi,TM,2021-09-27 14:45:44,39.4816,62.9137,66.18,35,0,8.52
120,Constantine,DZ,2021-09-27 14:45:44,36.365,6.6147,83.61,54,40,11.5
121,Ndioum,SN,2021-09-27 14:45:45,16.5129,-14.6471,102.2,23,69,5.28
122,Astaneh-Ye Ashrafiyeh,IR,2021-09-27 14:45:45,37.2596,49.9444,71.53,74,0,6.13
123,Khatanga,RU,2021-09-27 14:42:55,71.9667,102.5,27.93,82,23,8.77
124,Kenora,CA,2021-09-27 14:42:05,49.8167,-94.4337,55.38,81,20,5.75
125,San Buenaventura,MX,2021-09-27 14:45:46,27.0833,-101.5333,80.11,63,47,2.15
126,Rancho Palos Verdes,US,2021-09-27 14:45:47,33.7445,-118.387,65.39,88,90,8.05
127,Eirunepe,BR,2021-09-27 14:45:47,-6.6603,-69.8736,94.01,41,11,2.62
128,Constitucion,CL,2021-09-27 14:45:48,-35.3333,-72.4167,58.15,45,63,9.64
129,Ilulissat,GL,2021-09-27 14:41:47,69.2167,-51.1,24.82,36,1,4.61
130,Natal,BR,2021-09-27 14:44:22,-5.795,-35.2094,82.62,83,90,13.8
131,Port Elizabeth,ZA,2021-09-27 14:38:49,-33.918,25.5701,67.1,72,40,35.68
132,Muros,ES,2021-09-27 14:45:49,42.7762,-9.0603,73.69,59,100,13.47
133,Kavieng,PG,2021-09-27 14:40:58,-2.5744,150.7967,82.08,76,54,7.7
134,Chokurdakh,RU,2021-09-27 14:42:45,70.6333,147.9167,23.99,82,100,11.45
135,Leon,MX,2021-09-27 14:41:09,21.1167,-101.6667,65.21,74,23,2.17
136,Kavaratti,IN,2021-09-27 14:43:06,10.5669,72.642,81.95,78,100,19.62
137,Dikson,RU,2021-09-27 14:40:51,73.5069,80.5464,36.25,85,81,20.92
138,Havre-Saint-Pierre,CA,2021-09-27 14:42:40,50.2334,-63.5986,53.96,87,90,13.8
139,Markha,RU,2021-09-27 14:45:51,62.1053,129.7269,35.56,80,0,6.71
140,Kaeo,NZ,2021-09-27 14:45:51,-35.1,173.7833,45.32,88,25,4.59
141,Vao,NC,2021-09-27 14:40:57,-22.6667,167.4833,67.12,71,6,7.07
142,Nouadhibou,MR,2021-09-27 14:45:52,20.931,-17.0347,76.3,71,1,10.02
143,Kropotkin,RU,2021-09-27 14:45:52,45.4375,40.5756,59.16,54,16,6.44
144,Arraial Do Cabo,BR,2021-09-27 14:42:15,-22.9661,-42.0278,78.76,73,75,23.02
145,Primo Tapia,MX,2021-09-27 14:45:53,32.22,-116.9172,66.56,78,63,5.79
146,Ambulu,ID,2021-09-27 14:45:53,-8.345,113.6058,74.37,84,90,4.99
147,Erdenet,MN,2021-09-27 14:45:54,49.0333,104.0833,36.09,82,77,3.02
148,Mount Gambier,AU,2021-09-27 14:41:07,-37.8333,140.7667,48.11,81,100,2.3
149,Guarda,PT,2021-09-27 14:45:55,40.5373,-7.2658,67.23,47,18,4.79
150,Acajutla,SV,2021-09-27 14:45:55,13.5928,-89.8275,82.74,65,70,2.53
